Liga,Klub,Link_Bezposredni
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1VxdJs94eoDYdiEOWl6EnvUrkw_N2h5Sk
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1gp07FBuvSO40yKUBnqEXuScmNbLtmk_o
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1rnxH_vNMukbJ5evYx3Ene-IYr0rXeWwO
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1XqKRtDb3tQD_WhGx1-DkKNc97d-yhiDi
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1cFJY1EYIrGfcx3BnS7tDBYHUhhRz1I9W
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1cZq71bWQ33ISP_fpxRODIK27pjtwL1ei
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1yt5tiy1zyphkmai6jgkMhOPicES3698a
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1IQ09u8iNh0Nt5qPgo03nUcAQaWDEs-W2
Bundesliga (NIE),Borussia Mönchengladbach,https://drive.google.com/uc?export=view&id=1KZUQ1yZAVDTo_SdUqFTNMe2y5rVsWL8c
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1K-1viWoiFfAbk1SlHa4ecHdb6Kv-loES
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=17TDgyAz9HRFFelv1w3L0US6wQFeCAuEw
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=18to-74-grfS4wvU2obDTznttb2IBgFpH
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1A93ZnYhtfuCc4CH73h3iS4GUdzxAjZTr
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1IQ00pWCp1GHu1nlZ-vnatMLl2abud8nm
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1r5K4z2GEGi1q0N_ezGgNU7aSuDYQzkIy
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1-CwAKL0YwVBwuJO7eubYUPKynhHuZ22D
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=104V8T0zMShZf-T7AuSt-g-MrZxmMW0-z
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=17Hbm-NGiI1cGGa3N2rVoU6zEB2gUpUOP
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1RMSCaEtioO6OFeahWK9SmE1fyLSMTcYB
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1RiFx-StoOmau1BUkcDhlYkn3Q4VgkDWG
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1SHkOk0CXPhjxe7B3HmMVcbqYPIMHUFE_
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1u6-D-Tn4fXIRJiWZqY6UL6LH-sJYSo_T
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1yb2SZXiznQsdh-2n45OWyFeoRRQM5ny5
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1zOboNpF7zUOZCSEDj0p4J8EyrgaAFLHL
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=16fpNYxe06iM4TmZY6ystrvbfUU2FVt7_
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=18HrNAgF-ru-8MT6vQ-y4fwVDKmRJh1SY
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1CnJsPPQ0n0P0ftpnKAnIvjEpV07FFevY
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1i2NSAIL2dACgs3YS9Fvd4RcAP-mVQk8i
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=14Ut03TqaRPiQFopkGJscIM6GANNpuWFW
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1ZoJufEFOctTJCEhXj2iee5Z58BC51NXW
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1iGm_NIbZHuZB-7L5LyDaThq2TlFC_Ftp
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1y_YcZ8OZ_eOV9ZLNvsiszGy-aKb5SUNH
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1AuM32E0iCrbTVvnRCmwCRZOidCob1iJp
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1YQQ11a8WN1ik6o61xAOhKaa_cKmK-scm
Bundesliga (NIE),Eintracht Frankfurt,https://drive.google.com/uc?export=view&id=1rKgD-GzKdtblFuR1YKzeZgP8zj9AZvsI
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1WMzGheX850Jw934HDTeW8WqIOoOVonnR
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1vX0p9O5LtK8AiyG8ajoBq3vbeOu5Ri_8
Bundesliga (NIE),FC Augsburg,https://drive.google.com/uc?export=view&id=1P9wuHw7cfeo9qIre3-lrhMvymGjhlECT
