Liga,Klub,Link_Bezposredni
Anglia Premier League,Sunderland AFC,https://drive.google.com/uc?export=view&id=1vevh2wO6_56KWJKshJ5EyUL-fuvCt5P5
Anglia Premier League,Wolverhampton Wanderers,https://drive.google.com/uc?export=view&id=126vg955VbHq115hU3SUnT977lQTOYlO_
Anglia Premier League,Wolverhampton Wanderers,https://drive.google.com/uc?export=view&id=181_2VSamIuARefxosRveUkJYEDN30sv7
Anglia Premier League,Wolverhampton Wanderers,https://drive.google.com/uc?export=view&id=1E6bljHpcOH7AbxFYe2dKMrH7AzZfPISM
Anglia Premier League,Wolverhampton Wanderers,https://drive.google.com/uc?export=view&id=1F9DwA7jSOhPwcUaQoo4DkZbWY7Mo5jt-
Anglia Premier League,Wolverhampton Wanderers,https://drive.google.com/uc?export=view&id=1i1pHLJ8uEoh-7I5JFkOj4LB5T4luGr3R
Belgia Pro League,KAA Gent,https://drive.google.com/uc?export=view&id=1AWQ62GTtejZTjJ-uzTVLq0EPcxtWJg2q
Belgia Pro League,KAA Gent,https://drive.google.com/uc?export=view&id=1g8dwJsNFwWaU435rGmnk6-M-ddwEUHwj
Belgia Pro League,KAA Gent,https://drive.google.com/uc?export=view&id=1lYRhxFx0oAwI1vVSW3Bq-z_QBoq0TZR-
Belgia Pro League,Cercle Brugge,https://drive.google.com/uc?export=view&id=1nn06Foncm8l8nLHvIAHSRNodOwdJnhyr
Belgia Pro League,Cercle Brugge,https://drive.google.com/uc?export=view&id=1OLceqwFf5muJb8e3y0OsM9nFgj7-tUFI
Belgia Pro League,Club Brugge,https://drive.google.com/uc?export=view&id=1i-ZkOBNaa8cJywV0d5sy3RRdlMo1BqkJ
Belgia Pro League,Club Brugge,https://drive.google.com/uc?export=view&id=1x_tvi2FF6yUUE4kx8uzwRFDcdn9x0DM0
Belgia Pro League,Club Brugge,https://drive.google.com/uc?export=view&id=1y8wpxxF6qwCk3JTSAVuWCFHRqZDB8DMD
Belgia Pro League,FCV Dender EH,https://drive.google.com/uc?export=view&id=172Yu6zC9zlB-D7Ag2Rdc-Aq4PwDNq6wS
Belgia Pro League,FCV Dender EH,https://drive.google.com/uc?export=view&id=1hu7OQCtklhGRhQYjozoQai9FdfXs3u0w
Belgia Pro League,FCV Dender EH,https://drive.google.com/uc?export=view&id=1hxZrZ8mYXJzgjS2Fa22pIi4dkEXZUCc6
Belgia Pro League,KRC Genk,https://drive.google.com/uc?export=view&id=1Nzn_PWiJaHSVr9TNOoyGPk4u8SMX2oUV
Belgia Pro League,KRC Genk,https://drive.google.com/uc?export=view&id=1i4cu-DY3q-CP7xluRWstLPDoBC9kVKOv
Belgia Pro League,KRC Genk,https://drive.google.com/uc?export=view&id=13suCxmOExRFUqCqOjxO95v_qEat6pPf2
Belgia Pro League,OH Leuven,https://drive.google.com/uc?export=view&id=1X4XzhAgjG_UlFiWgWdidvGsT6BB4GCDc
Belgia Pro League,OH Leuven,https://drive.google.com/uc?export=view&id=1lJ7Tc74snsgbGMh74VvEi2S-r3z7Z6BQ
Belgia Pro League,OH Leuven,https://drive.google.com/uc?export=view&id=1pPpeDkr2IWGpGJvfK6AiHjXTybFef44j
Belgia Pro League,KV Mechelen,https://drive.google.com/uc?export=view&id=1-IRJ_216m23KS5JfANoUBnpfUbYE5iYu
Belgia Pro League,KV Mechelen,https://drive.google.com/uc?export=view&id=1940HG1Fe7L2mfsgdT8VipNxuWI0Cgtm0
Belgia Pro League,KV Mechelen,https://drive.google.com/uc?export=view&id=1X8ctcVFw3YvKIsKS0NJrYpQVvVdIHy4p
Belgia Pro League,RSC Anderlecht,https://drive.google.com/uc?export=view&id=1VP7a0i_-QNIUfhDH6r0BGr2Fgyts6m2P
Belgia Pro League,RSC Anderlecht,https://drive.google.com/uc?export=view&id=1dkckbcAl3RmAsJSzifeAfaLPKiMEF0rI
Belgia Pro League,RSC Anderlecht,https://drive.google.com/uc?export=view&id=1uXi0-ccoeDT4ZbjipY_dQiZQOqcK1tgI
Belgia Pro League,Standard Liège,https://drive.google.com/uc?export=view&id=11hYZiF_j8Tul8V6hdGUardXqNTFY7NiA
Belgia Pro League,Standard Liège,https://drive.google.com/uc?export=view&id=1I3-Onf55qFp8aRQ5Y0PQ21uGFaPe66Wy
Belgia Pro League,Standard Liège,https://drive.google.com/uc?export=view&id=1hJaMF1TJg0KbGUW_RtZJzok2S7Lr473B
Belgia Pro League,Standard Liège,https://drive.google.com/uc?export=view&id=1ii1RQ5M8R8xP6LR62Txq0o44AUdqDgvq
Belgia Pro League,Standard Liège,https://drive.google.com/uc?export=view&id=1mhRScFmcDZ9nLJBiEtUiKwaQksluqZ9w
Belgia Pro League,Sint-Truidense VV,https://drive.google.com/uc?export=view&id=1uc1rL1YoJ4YNmIXClnUZrPxlueeksdn9
Belgia Pro League,Sint-Truidense VV,https://drive.google.com/uc?export=view&id=1DH_8S2VdyUhjtjFn9IlbdC0cpA4_xGWA
Belgia Pro League,Sint-Truidense VV,https://drive.google.com/uc?export=view&id=1ve9pb7SD9OVcoFdOlKyMp6iAaZDWIJVn
Belgia Pro League,KVC Westerlo,https://drive.google.com/uc?export=view&id=1-2dtE0Jva4Hfu_Eqk257E9E3UqLerES7
Belgia Pro League,KVC Westerlo,https://drive.google.com/uc?export=view&id=12rQRVvKV-4dJtpXIPzBNz6f_drMqOPM8
Belgia Pro League,KVC Westerlo,https://drive.google.com/uc?export=view&id=1JdRhuA2DD7tUg0RgjcxPzGXCZAt_foO5
Belgia Pro League,La Louvière,https://drive.google.com/uc?export=view&id=1cFh3xjjwvFVTJjpmKIkkMDG6_v_i88kK
Belgia Pro League,La Louvière,https://drive.google.com/uc?export=view&id=1xVj76DdWDBUadZ9W2QwM1j0MwjJeE4V_
Belgia Pro League,Royal Antwerp,https://drive.google.com/uc?export=view&id=1UY-WwAqe4pDEes9b0_YQJ7Jy3A-K7vgz
Belgia Pro League,Royal Antwerp,https://drive.google.com/uc?export=view&id=1jFpd7_84Ub28DuXNFtTJz3NTraXz8gWy
Belgia Pro League,Royal Antwerp,https://drive.google.com/uc?export=view&id=1my9pPaKNq_WKU8uzvtqRkuWHrgxzUF7P
Belgia Pro League,Royale Union Saint-Gilloise,https://drive.google.com/uc?export=view&id=1QDvffGe0xgpfV8HijSiBAiPFLkDoba8B
Belgia Pro League,Royale Union Saint-Gilloise,https://drive.google.com/uc?export=view&id=1VhqVINXNYo7nj-yW3rKoFcELMf_SlHLB
Belgia Pro League,Royale Union Saint-Gilloise,https://drive.google.com/uc?export=view&id=1_TYjG6XsIgDD40l_fVGRpaXsoLjqkqBO
Belgia Pro League,Royal Charleroi,https://drive.google.com/uc?export=view&id=1qS3yniDq5L0EwRcuM_XmFR0mD8KdmYUL
Belgia Pro League,Royal Charleroi,https://drive.google.com/uc?export=view&id=1O8OCgv3QCWC0bHqhmCx6YfWImMqc7bQK
Belgia Pro League,Royal Charleroi,https://drive.google.com/uc?export=view&id=1wDFr74SFxL_KUEXp1E52_RqVjAZ42qpF
Belgia Pro League,Zulte Waregem,https://drive.google.com/uc?export=view&id=19tFJevUBtuJ9VL4GTntKln81azMJveJV
Belgia Pro League,Zulte Waregem,https://drive.google.com/uc?export=view&id=1dejNylqJJxr6J-G8i80h_iMBjqnIa14_
Belgia Pro League,Zulte Waregem,https://drive.google.com/uc?export=view&id=1nj8KcILyH7VerAcEt539cRzxevtwL9RU
Francja Ligue 1,FC Metz,https://drive.google.com/uc?export=view&id=1JS04W3DSuDJUew08MDws2-oOFAhr6EYp
Francja Ligue 1,FC Metz,https://drive.google.com/uc?export=view&id=1wbL3xZFNCNvBEj-MKKFQoFVqYahTnSY8
Francja Ligue 1,FC Metz,https://drive.google.com/uc?export=view&id=1LWTLEJ_IDN45nCXa8VWE9xvhJBvCBzlI
Francja Ligue 1,AS Monaco,https://drive.google.com/uc?export=view&id=18xPGMja-5MgCA9Ww8pxeE4U-b1y5sxld
Francja Ligue 1,AS Monaco,https://drive.google.com/uc?export=view&id=1JU464aWelS7-XF_-c0Ofcso4hc2Ib24-
Francja Ligue 1,AS Monaco,https://drive.google.com/uc?export=view&id=1h93_q5ZRKf1-SIEUKYdXKHHrUCT2WZqb
Francja Ligue 1,Nice,https://drive.google.com/uc?export=view&id=1Q5RIpB1Jz3_ZDmQ9Qr68mKZ8OwodGYxp
Francja Ligue 1,Nice,https://drive.google.com/uc?export=view&id=1Y5wh0NzUaLI-U9x9-kt1nAuu42jqyzSR
Francja Ligue 1,Nice,https://drive.google.com/uc?export=view&id=1mWZIybQP6lylVtFOJrdzr7Lk-Gdo9IqT
Francja Ligue 1,Angers SCO,https://drive.google.com/uc?export=view&id=16IQv-KPPygLzxcE_2f3oavpRZopWj4oQ
Francja Ligue 1,Angers SCO,https://drive.google.com/uc?export=view&id=1M7dM9PX0BVcEmzAZy2ECYT9LvERgBPdG
Francja Ligue 1,Angers SCO,https://drive.google.com/uc?export=view&id=1tVQ-eRRZ3KE3TcTjRxbOV8B5a-wdeAlV
Francja Ligue 1,AJ Auxerre,https://drive.google.com/uc?export=view&id=1HrnoNKpDISjjZFzRNdvywuY8uHkZOGfv
Francja Ligue 1,AJ Auxerre,https://drive.google.com/uc?export=view&id=1nX_l0mbJeakKc1gibj8NVsBAnIBrrYMc
Francja Ligue 1,AJ Auxerre,https://drive.google.com/uc?export=view&id=1y9S9F151O5nTMElOvV47xEOEYcMGkftl
Francja Ligue 1,FC Nantes,https://drive.google.com/uc?export=view&id=1Jxg-Nkaxm25UFkH9D2QStlSB7dpdb1aD
Francja Ligue 1,FC Nantes,https://drive.google.com/uc?export=view&id=1l2NU2JdQChFeKA01DJ6AX46Egd6zQhtR
Francja Ligue 1,Lorient,https://drive.google.com/uc?export=view&id=1LSdcJDZdNh6_3QkVYRo3yo1v7ptyjthi
Francja Ligue 1,Lorient,https://drive.google.com/uc?export=view&id=1d8ZdZBRS44Ht_LvPbpHMF9ilRPRqLeb8
Francja Ligue 1,Lorient,https://drive.google.com/uc?export=view&id=1rUdbgrspVXBlO6mTmmXV0lEvGXkh1TjV
Francja Ligue 1,Lille LOSC,https://drive.google.com/uc?export=view&id=18Dm-LAVYLZm17RG1qdW59NNaSVd-q-L1
Francja Ligue 1,Lille LOSC,https://drive.google.com/uc?export=view&id=1OXPUbDsepBOZN7TPirl-CPkbodNfka-8
Francja Ligue 1,Lille LOSC,https://drive.google.com/uc?export=view&id=1UYIrEuvxtzWXSamYPpbcFcFJb5EaRH7G
Francja Ligue 1,Le Havre,https://drive.google.com/uc?export=view&id=1WRqOS-9I2MFnDpkJUmG4hdhbk4YXauls
Francja Ligue 1,Le Havre,https://drive.google.com/uc?export=view&id=1w6DOaZLy83IvCzlhCK-RRS6X2tD0o8X6
Francja Ligue 1,Olympique Marseille,https://drive.google.com/uc?export=view&id=10kU_z6xMc4V_i-r0mrlNHZC4n3d2X_Ks
Francja Ligue 1,Olympique Marseille,https://drive.google.com/uc?export=view&id=164XgdjljN-_2iheRirk55TNhPU8biOS_
Francja Ligue 1,Olympique Marseille,https://drive.google.com/uc?export=view&id=1XXs3NYgNicpnwUsRAwA5wRJd0DwJ2dLs
Francja Ligue 1,Paris Saint-Germain,https://drive.google.com/uc?export=view&id=1HIhXc3hPwAhNFlIoMqmB02uWRRV3BCZW
Francja Ligue 1,Paris Saint-Germain,https://drive.google.com/uc?export=view&id=1m77UMTudL1AS0d69A3nXhD_QDSe3ILwS
Francja Ligue 1,Paris Saint-Germain,https://drive.google.com/uc?export=view&id=1vWxijF8wigbKKaeSCqbWKDpgiIdxfJvL
Francja Ligue 1,Olympique Lyonnais,https://drive.google.com/uc?export=view&id=1EmEMYAT20Hmf3LPpxAwVPAsPvrpncYzK
Francja Ligue 1,Olympique Lyonnais,https://drive.google.com/uc?export=view&id=1IfIfZQe_mV7d51PCVVa8TL6res7qXkqP
Francja Ligue 1,Olympique Lyonnais,https://drive.google.com/uc?export=view&id=1eM7ofgFDPxrTwvpUJCw8ErnofzKbfewx
Francja Ligue 1,Stade Rennais,https://drive.google.com/uc?export=view&id=16s2T3c7ywgUYgl4Vw_blwpjeGr6zVbw7
Francja Ligue 1,Stade Rennais,https://drive.google.com/uc?export=view&id=18AMNvabdY-nj7xXAf3I3gmckPL13C02y
Francja Ligue 1,Stade Rennais,https://drive.google.com/uc?export=view&id=1TmpPcWho15IDyF50XzAohjXI6kIYya7W
